SUBJECT,SESSION,IGMeanInverseRT,IGMean,IGShape
F,21,3.6631964449838184,287.5571752795597,4816.449109004733
F,22,3.2565252421752326,323.9996374218656,5686.890428518458
F,23,2.8230850771417773,386.79565056777506,3594.342185606402
F,24,3.0097001638895495,357.7911307135982,4282.293765767682
F,25,3.353079140511864,308.8898810624464,6562.7600828953855
F,26,2.9266699515396555,369.92230221065785,4198.467124650897
F,27,2.6971953450571293,410.5134871760954,3643.873853366
F,28,2.849753381845183,379.2158667038114,4670.100539534434
F,29,3.1965921498372687,342.64488934711665,4193.467084490646
F,30,3.180950927527949,351.4539889912238,3297.686327616995
F,31,3.128562760523659,333.5998944147933,4906.869794630441
F,32,3.3307372510706346,319.10743630884224,5109.756105615452
F,33,3.5943080908004506,293.0116427665332,5526.443458962911
F,34,3.29755793147946,329.2680668553431,4172.254291486521
F,35,3.0188977076342747,369.81507127797397,3520.016087170735
F,36,2.3666490803661264,583.1350635137741,1578.673590822749
F,37,2.495707242292609,443.2100541626436,4041.094120324437
F,38,3.3730819452140146,321.60205186410474,3956.5562519038804
F,39,3.1626669896857176,352.8502482622131,2929.4768234629114
F,40,2.8635823532619495,378.43732473496925,4636.319985914364
F,41,2.904921453671787,396.0162035334464,2705.21250733305
F,42,3.2410232266003884,335.55812502450027,4836.997042236079
F,43,3.159548230722955,355.55177579285396,3257.27347470397
F,44,3.0114618776178017,371.44611218376883,2690.9926172714936
F,45,3.592176950947464,304.84880480423465,2970.3013614116876
F,46,3.8441161028037385,278.4223965238496,3896.731482519538
F,47,3.3209667674841423,322.01440025717545,5408.520526651557
F,48,3.0280469449696783,356.0196498378947,4686.85338117226
F,49,3.16264724189633,350.9374767224818,3667.264128032795
F,50,3.183028588849725,353.74555350026,2714.5937790300886
F,51,3.2019512180524057,336.76531502182047,4193.252675038817
F,52,3.120601835290621,357.6304503859628,3623.900637657255
F,53,3.104747769672629,357.22643502176754,3462.7304299335624
F,54,3.62951151860614,296.58022567844716,4285.020652849995
F,55,3.3713680400842296,338.7159576429683,2224.02765555704
F,56,3.686338959655792,288.0197614988593,4612.690730333424
F,57,3.3519290032130744,328.90302776536635,3378.7566291587336
F,58,3.593873245111368,295.82800612795427,4814.676661090661
F,59,3.186600608403598,339.5829084679245,3575.030965045491
F,60,3.2680363893122717,330.6489394170921,4388.848081011584
F,61,3.203090153112772,332.36349060820635,4935.841812503896
F,62,3.219010049328232,329.13572976232155,4828.620854131876
F,63,3.3996338451944967,315.0750606708033,4279.79689689408
F,64,3.10324674192816,344.7708030211116,4848.916805859638
F,65,3.5698640292801413,302.9450902084353,3906.621932529537
F,66,3.0491114632821947,346.03505345302693,7303.510084728274
F,67,3.1639530039872694,339.2744359950617,4686.309922797138
F,68,3.2230488972459552,337.09251149995066,3638.053968328079
F,69,2.811490228575387,405.94673381444505,3103.144220148342
F,70,3.152436018518942,349.676951834802,3758.194466148081
F,71,2.9615029536012587,388.04186326317665,2195.136115142015
F,72,2.437832918608912,460.36229905859545,3606.075625703333
F,73,3.1031316278805523,359.5778508837341,3402.8892040506557
F,74,2.906020864376049,396.9696138463226,2977.8847581828127
F,76,3.244325013352726,326.1026193133333,4189.540890424151
F,77,3.3956864689037665,310.0385188801471,5398.731333526064
F,78,3.3108484847602497,335.154412205208,3376.377226014243
F,79,3.3332419178565735,323.07711885243674,4682.717701538471
F,80,2.746440900046081,394.2340186380688,3693.8407729441183
F,81,3.077774858636361,346.96676437005357,4832.5450641976095
F,82,2.821903132192957,393.86357744720857,3551.0128523190415
F,83,3.2513407826681373,331.0312529586289,4258.874431503292
F,84,3.1206885012336185,339.7827175727006,5840.4458041162
F,85,2.943049312004946,368.5175052049864,4631.020073627119
F,86,2.862395407605692,394.90176061478655,2991.4699330340673
F,87,3.6571601927189654,291.55773024123306,4709.6006961289395
F,88,3.0000417883414974,358.52249332377835,4797.039586907923
F,89,2.78200097117861,378.29377953008975,5883.455610764538
F,90,3.1335963274423984,338.38528813446715,5547.624156240219
F,91,3.25206039985945,332.2033313191008,4152.1210935720355
F,92,3.5105051904478657,315.43126636650305,3410.715488489667
F,93,3.1714304709092915,338.7853718202774,4421.629432940491
F,94,2.815225618887426,372.81487097965595,5986.568104375477
F,95,3.0685896303755404,347.1478389542756,5495.956147427746
F,96,3.221920987555806,336.55208191983695,3930.5507612284373
F,97,2.797169334100912,405.81146340443587,2957.3802615048216
F,98,3.36703384824418,317.58639903323666,5026.66869382245
F,99,3.066383216936206,348.69247831653024,4172.207530682726
F,100,2.9899726889904246,371.8850808231437,2796.0015714429155
F,101,2.802819222361455,385.36727048905806,5192.6866514938765
F,102,2.7696638193937706,395.428390752875,4270.849092193461
F,103,2.9096487789204417,392.1281283150075,3228.7768276686465
F,104,2.7865109059798225,408.07438156735327,3099.3248242995937
F,105,2.9346550408456236,375.76501776708596,3412.699556185376
F,106,3.016548597767889,359.62921549180885,4756.664325253918
F,107,2.9841728776340846,375.90813249546363,3151.635929444263
F,108,2.9339760668069292,380.53816505384583,3558.212771210909
F,109,2.590664579289502,438.2880692768463,3178.2546586711414
F,110,2.7263082528687717,399.22956937560565,3820.0040241568195
F,112,3.1617574934970176,331.93879374562397,6043.331950608178
F,113,3.4183532096676204,304.1063611151038,8618.211163930358
F,114,2.8758599479684195,380.98397522044104,4067.7080546510188
F,115,2.955236639183961,354.5585605245378,5557.96918415258
F,116,2.6364800899828458,423.83606666076844,3615.4441765786373
F,117,2.636267185004769,434.62523617407606,3173.3232449946818
F,118,2.716211566734728,389.9302841163073,5072.692235428906
F,119,3.228019208346298,326.3898948002403,5957.482251511619
F,120,2.9734543170984735,363.1326901826536,4811.863058041849
F,121,3.356178148474047,310.38181507579174,6480.548128427094
F,122,3.323390105232555,325.8666738665367,3912.272328760983
